Category,Name,Location,Website,Description
Housing,True Colors United,National,https://truecolorsunited.org/,LGBTQIA+ youth homelessness prevention.
Housing,Trans Housing Network,National,https://www.facebook.com/TransHousingNetwork/,Community-based housing for trans individuals.
Housing,Rainbow Railroad,International,https://www.rainbowrailroad.org/,Helping LGBTQIA+ individuals escape persecution.
Food,FoodFinder,National,https://foodfinder.us/,Finds free meal programs near you.
Food,Feeding America,National,https://www.feedingamerica.org/,Largest food bank network in the U.S.
food,Falling Fruit,Online Resource,https://fallingfruit.org/,Search here for local fruit trees you can take and eat.
Clothing,Dress for Success,International,https://www.dressforsuccess.org/,Professional clothing for job seekers.
Clothing,Point of Pride,National,https://www.pointofpride.org/freechestbinders,Provides free chest binders.
Clothing,Transgender District,San Francisco,https://www.transgenderdistrictsf.com/,Offers free gender-affirming clothing.
Support,Lambda Legal,National,https://www.lambdalegal.org/,Legal advocacy for LGBTQIA+ rights.
Support,The Trevor Project,National,https://www.thetrevorproject.org/,Crisis support for LGBTQIA+ youth.
Support,PFLAG,National,https://pflag.org/,Family and peer support for LGBTQIA+ individuals.
Healthcare,Southern Equality,13 southern states,https://southernequality.org/resources/transinthesouth/,Healthcare HRT access insurance coverage funding for surgeries.
HRT,Trans Harm Reduction, online,https://transharmreduction.org/,HRT access and education.
HRT,Injection Tutorial and information,online,https://hrtcafe.net/Homebrew/injection-tutorial.html,Learn how to inject your meds.
HRT,Information on HRT,online,https://hrtcafe.net/,This is a wiki about HRT information.
HRT,Online Supplier list,online,https://hrt.coffee/,List of suppliers to get HRT.
